title,titleZh,updated,roundId,roundTitle,roundTitleZh,slot,date,time,court,teamA,teamB,scoreA,scoreB,winner,status,advancesTo
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-6,Week 6,16/10/2026,W6-C2-1,2026-10-16,18:15-19:30,Court 2,Katseye,Balls deep,,,TBC,Upcoming,League round
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-6,Week 6,16/10/2026,W6-C2-2,2026-10-16,19:30-20:45,Court 2,Flying Dishwashers,Woka Woka,,,TBC,Upcoming,League round
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-7,Week 7,23/10/2026,W7-C1-1,2026-10-23,18:15-19:30,Court 1,Flying Dishwashers,Katseye,,,TBC,Upcoming,League round
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-7,Week 7,23/10/2026,W7-C1-2,2026-10-23,19:30-20:45,Court 1,Woka Woka,Aiyo watch out,,,TBC,Upcoming,League round
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-7,Week 7,23/10/2026,W7-C2-1,2026-10-23,18:15-19:30,Court 2,Balls deep,Nei Low May,,,TBC,Upcoming,League round
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-7,Week 7,23/10/2026,W7-C2-2,2026-10-23,19:30-20:45,Court 2,Cafe Sua Da,Delay no more,,,TBC,Upcoming,League round
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-8,Week 8 - Semi Final,30/10/2026,SF-C1-1,2026-10-30,18:15-19:30,Court 1,1st Ranking Team,4th Ranking Team,,,TBC,Semi Final,Final placement
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-8,Week 8 - Semi Final,30/10/2026,SF-C1-2,2026-10-30,19:30-20:45,Court 1,5th Ranking Team,8th Ranking Team,,,TBC,Semi Final,Final placement
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-8,Week 8 - Semi Final,30/10/2026,SF-C2-1,2026-10-30,18:15-19:30,Court 2,6th Ranking Team,7th Ranking Team,,,TBC,Semi Final,Final placement
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-8,Week 8 - Semi Final,30/10/2026,SF-C2-2,2026-10-30,19:30-20:45,Court 2,2nd Ranking Team,3rd Ranking Team,,,TBC,Semi Final,Final placement
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-9,Week 9 - Final,6/11/2026,F-C1-1,2026-11-06,18:15-19:30,Court 1,7th Ranking Team,8th Ranking Team,,,TBC,Final,Final placement
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-9,Week 9 - Final,6/11/2026,F-C1-2,2026-11-06,19:30-20:45,Court 1,1st Ranking Team,2nd Ranking Team,,,TBC,Final,Championship match
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-9,Week 9 - Final,6/11/2026,F-C2-1,2026-11-06,18:15-19:30,Court 2,3rd Ranking Team,4th Ranking Team,,,TBC,Final,Final placement
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-9,Week 9 - Final,6/11/2026,F-C2-2,2026-11-06,19:30-20:45,Court 2,5th Ranking Team,6th Ranking Team,,,TBC,Final,Final placement
